DATE,er,cpi_usa,cpi_can,y,cpi_usa_diff,cpi_can_diff,prices_usa,prices_can,can/usa,can/usa_gt,x
2004-11-01,1.19677,80.58494,83.43429,-0.022112608695652236,0.04219000000000506,0.316040000000001,64,41,1.0353583436309564,0.640625,-0.16141165636904353
2004-12-01,1.2188826086956521,80.2896,83.27627,-0.0059523913043477705,-0.29534000000001015,-0.1580200000000076,60,40,1.0371987156493494,0.6666666666666666,-0.18168389304630272
2005-01-01,1.224835,80.45837,83.19726,-0.0152176315789474,0.1687700000000092,-0.0790099999999967,55,40,1.0340410823634631,0.7272727272727273,-0.19079391763653675
2005-02-01,1.2400526315789473,80.92246,83.5133,0.024026544622425705,0.4640899999999988,0.316040000000001,55,32,1.0320163277290384,0.5818181818181818,-0.2080363038499089
2005-03-01,1.2160260869565216,81.55533,83.98736,-0.01987391304347841,0.6328699999999969,0.4740599999999944,65,46,1.0298206138090544,0.7076923076923077,-0.18620547314746716
2005-04-01,1.2359,82.10381,84.22439,-0.01962857142857133,0.5484799999999979,0.2370300000000043,70,46,1.0258280340461667,0.6571428571428571,-0.21007196595383326
2005-05-01,1.2555285714285713,82.01943,84.3034,0.015360389610389547,-0.0843799999999959,0.0790099999999967,60,39,1.0278466943747353,0.65,-0.22768187705383602
2005-06-01,1.2401681818181818,82.06161999999999,84.46141999999999,0.017313181818181755,0.042189999999990846,0.1580199999999934,60,48,1.029243877954152,0.8,-0.21092430386402983
2005-07-01,1.222855,82.44135,84.61944,0.018572391304347846,0.3797300000000092,0.1580200000000076,64,47,1.0264198730370135,0.734375,-0.19643512696298648
2005-08-01,1.2042826086956522,82.86325,84.93548,0.026601656314699795,0.4218999999999937,0.316040000000001,93,65,1.0250078291643159,0.6989247311827957,-0.1792747795313363
2005-09-01,1.1776809523809524,83.87584,85.64656,0.00026595238095228346,1.012590000000003,0.7110799999999955,100,100,1.0211112043706507,1.0,-0.15656974801030166
2005-10-01,1.177415,84.0446,85.25151,-0.004129999999999967,0.16876000000000602,-0.3950499999999977,63,47,1.0143603515276411,0.746031746031746,-0.16305464847235895
2005-11-01,1.181545,83.36954,85.0935,0.020064047619047676,-0.675060000000002,-0.1580099999999902,61,45,1.0206785355898569,0.7377049180327869,-0.16086646441014318
2005-12-01,1.1614809523809524,83.03201999999999,85.01449000000001,0.0043159523809523925,-0.33752000000001203,-0.0790099999999967,57,40,1.0238759697764792,0.7017543859649122,-0.13760498260447318
2006-01-01,1.157165,83.66489,85.48854,0.008270263157894808,0.6328700000000111,0.4740499999999912,58,39,1.0217970764080369,0.6724137931034483,-0.13536792359196315
2006-02-01,1.1488947368421052,83.83365,85.33051999999999,-0.0084139588100689,0.16876000000000602,-0.1580200000000076,56,34,1.01785524070585,0.6071428571428571,-0.1310394961362551
2006-03-01,1.157308695652174,84.29775,85.80458,0.013203695652174163,0.46409999999998774,0.4740600000000086,55,42,1.0178750915653147,0.7636363636363637,-0.13943360408685934
2006-04-01,1.144105,85.015,86.27864,0.03411409090909068,0.717250000000007,0.4740599999999944,75,49,1.0148637299300123,0.6533333333333333,-0.12924127006998765
2006-05-01,1.1099909090909093,85.43691,86.67369000000001,-0.0037363636363636488,0.4219099999999969,0.3950500000000119,67,46,1.0144759448814338,0.6865671641791045,-0.09551496420947547
2006-06-01,1.113727272727273,85.60566999999999,86.51567,-0.015717727272727133,0.1687599999999918,-0.1580200000000076,57,40,1.010630136999103,0.7017543859649122,-0.10309713572816981
2006-07-01,1.129445,85.85882,86.59468000000001,0.01123195652173914,0.2531500000000051,0.0790100000000109,61,43,1.0085705813334032,0.7049180327868853,-0.12087441866659687
2006-08-01,1.118213043478261,86.02759,86.7527,0.002093043478260892,0.1687700000000092,0.1580199999999934,56,44,1.0084288075488341,0.7857142857142857,-0.10978423592942677
2006-09-01,1.11612,85.60566999999999,86.27864,-0.012418095238095228,-0.4219200000000143,-0.4740600000000086,62,38,1.0078612783475676,0.6129032258064516,-0.10825872165243244
2006-10-01,1.1285380952380952,85.14157,86.12062,-0.0073428571428570955,-0.46409999999998774,-0.1580199999999934,55,42,1.011499083232785,0.7636363636363637,-0.1170390120053102
2006-11-01,1.1358809523809523,85.015,86.27864,-0.017354047619047686,-0.12657000000000096,0.1580199999999934,55,35,1.0148637299300123,0.6363636363636364,-0.12101722245094004
2006-12-01,1.153235,85.14157,86.43666,-0.02302690476190472,0.12657000000000096,0.1580200000000076,50,34,1.0152110185424112,0.68,-0.13802398145758876
2007-01-01,1.1762619047619047,85.40146999999999,86.43666,0.005272431077694373,0.2598999999999876,0.0,53,35,1.0121214541154855,0.660377358490566,-0.16414045064641924
2007-02-01,1.1709894736842104,85.8584,87.06874,0.0028303827751194888,0.45693000000001405,0.632080000000002,49,37,1.0140969316921815,0.7551020408163265,-0.15689254199202884
2007-03-01,1.1681590909090909,86.6402,87.77982,0.03317337662337638,0.7817999999999898,0.7110799999999955,54,37,1.0131534784084064,0.6851851851851852,-0.15500561250068445
2007-04-01,1.1349857142857145,87.20303,88.17487,0.039899350649350795,0.5628300000000053,0.3950499999999977,57,37,1.0111445668803023,0.6491228070175439,-0.12384114740541219
2007-05-01,1.0950863636363637,87.7359,88.56992,0.029981601731601693,0.5328700000000026,0.3950499999999977,66,47,1.0095060288889723,0.7121212121212122,-0.08558033474739135
2007-06-01,1.065104761904762,87.90593,88.4119,0.014919047619047499,0.17002999999999702,-0.1580199999999934,55,37,1.005755811923041,0.6727272727272727,-0.05934894998172102
2007-07-01,1.0501857142857145,87.88356999999999,88.49091,-0.007666459627329036,-0.022360000000006153,0.0790099999999967,55,39,1.006910734281732,0.7090909090909091,-0.043274980003982444
2007-08-01,1.0578521739130435,87.7224,88.25388000000001,0.031107173913043518,-0.16116999999999848,-0.23702999999999008,51,37,1.0060586577658617,0.7254901960784313,-0.05179351614718186
2007-09-01,1.026745,87.96415999999999,88.4119,0.051331956521739164,0.2417599999999993,0.1580199999999934,50,37,1.0050900275748669,0.74,-0.021654972425133145
2007-10-01,0.9754130434782609,88.15233,88.17487,0.008174948240165625,0.18817000000001372,-0.2370300000000043,50,38,1.0002556937519405,0.76,0.0248426502736796
2007-11-01,0.9672380952380952,88.67591999999999,88.4119,-0.034831904761904786,0.5235899999999845,0.2370300000000043,59,43,0.9970226415468824,0.7288135593220338,0.02978454630878713
2007-12-01,1.00207,88.61641999999999,88.49091,-0.007872857142857237,-0.059499999999999886,0.0790099999999967,52,35,0.9985836710623156,0.6730769230769231,-0.003486328937684413
2008-01-01,1.0099428571428573,89.0569,88.33289,0.011387857142857283,0.440480000000008,-0.1580199999999934,55,37,0.991870253736656,0.6727272727272727,-0.018072603406201204
2008-02-01,0.998555,89.31554,88.64893000000001,-0.0043878571428571655,0.25863999999999976,0.316040000000001,54,37,0.9925364611802158,0.6851851851851852,-0.006018538819784203
